Nº,Desc. nacionalidade,A/S curricular aluno,Sexo (M/F),Desc. tipos aluno,Cód. curso,Nome curso,Área Científica,Empregabilidade,Ano lectivo ingresso,Candidatos - Formade Ingresso 1.º ano 1.ª vez,Nota de Ingresso,Ano Nascimento,Idade neste ano letivo,Ano conclusão habilitação anterior,Classificação habilitação anterior,Desc. habilitação anterior,Desc. regime frequência,Bolsa DGES,Concelho,Km Distância ISEC Lisboa - Concelho Morada Indicada pelo estudante,Desc. habilitação literária mãe,Desc. habilitação literária pai,Desc. profissão mãe,Desc. profissão pai,Desc. situação profissional mãe,Desc. situação profissional pai,Desc. situação profissional (aluno),Desc. grupo profissional (aluno),ECTS (aprovados),ECTS (inscrito),% de ECTS feitos face inscritos,Média UC Realizadas,Diplomou-se até 2022 (Curso),Diplomou-se até 2022 (Data),Abandono?
20210260,Portuguesa,1,F,Normal,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,N - Licenciatura - Titulares de diploma de vias profissionalizantes (dupla certificação),13.65,2002,19,2021,15,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Lisboa,0.00,9º ano de esco(antigo 5º ano liceal/ensino técni.),4.º ano de escolaridade (antiga 4.ª classe),Não Responde,Não Responde,Trabalha por conta de outrém,Trabalha por conta de outrém,"Aluno, estudante",Desconhecido/não sabe,60,60,100%,12.65,Não,Não,renovou no ano seguinte
20210237,Portuguesa,1,F,Normal,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,N - Licenciatura - Titulares de diploma de vias profissionalizantes (dupla certificação),16.20,2002,19,2020,17,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Sintra,32.10,12.º ano de escolaridade,12.º ano de escolaridade,Não Responde,Não Responde,Trabalha por conta de outrém,Trabalha por conta de outrém,"Aluno, estudante",Outra situação,46,60,77%,11.74,Não,Não,renovou no ano seguinte
20210314,Portuguesa,1,F,Normal,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,N - Licenciatura - Titulares de diploma de vias profissionalizantes (dupla certificação),15.76,1998,23,2016,17,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Lourinhã,65.70,Ensino médio,Licenciatura,Não Responde,Não Responde,"Aluno, estudante",Trabalha por conta própria - independente (sem empregados),Trabalha por conta de outrém,Trabalhadores dos cuidados pessoais e similares,60,60,100%,13.03,Não,Não,renovou no ano seguinte
20210255,Portuguesa,1,F,Normal,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,N - Licenciatura - Titulares de diploma de vias profissionalizantes (dupla certificação),13.91,2003,18,2021,14,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Odivelas,7.40,9º ano de esco(antigo 5º ano liceal/ensino técni.),11.º ano de escolaridade,Não Responde,Não Responde,Não Responde,Não Responde,"Aluno, estudante",Não Responde,18,60,30%,10.94,Não,Não,renovou no ano seguinte
20210245,Portuguesa,1,F,Normal,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,N - Licenciatura - Titulares de diploma de vias profissionalizantes (dupla certificação),16.49,2001,20,2021,17,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Lisboa,0.00,4.º ano de escolaridade (antiga 4.ª classe),Mestrado,Não disponível,Outra situação,Desconhecida /Não Tem,Reformado/a,Desempregado/a,Outro pessoal de apoio de tipo administrativo,53,60,88%,13.83,Não,Não,renovou no ano seguinte
20210279,Portuguesa,1,F,Normal,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,N - Licenciatura - Titulares de diploma de vias profissionalizantes (dupla certificação),14.10,2002,19,2021,15,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Vila Franca de Xira,34.40,Licenciatura,4.º ano de escolaridade (antiga 4.ª classe),Não Responde,Não Responde,Trabalha por conta de outrém,Trabalha por conta de outrém,"Aluno, estudante",Desconhecido/não sabe,54,60,90%,10.85,Não,Não,renovou no ano seguinte
20210235,Portuguesa,1,F,Normal,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,N - Licenciatura - Titulares de diploma de vias profissionalizantes (dupla certificação),16.91,2001,20,2021,17,12.º ano de escolaridade,Diurno (horário não vinculativo),sim,Setúbal,54.70,12.º ano de escolaridade,12.º ano de escolaridade,Não Responde,Não Responde,Trabalha no negócio de familia,Trabalha por conta própria - (como empregador),"Aluno, estudante",Desconhecido/não sabe,60,60,100%,12.72,Não,Não,renovou no ano seguinte
20210238,Portuguesa,1,F,Normal,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,N - Licenciatura - Titulares de diploma de vias profissionalizantes (dupla certificação),13.16,2002,19,2021,14,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Amadora,8.00,9º ano de esco(antigo 5º ano liceal/ensino técni.),11.º ano de escolaridade,Não Responde,Não Responde,Trabalha por conta de outrém,Desempregado/a,"Aluno, estudante",Desconhecido/não sabe,34,60,57%,11.79,Não,Não,renovou no ano seguinte
20210275,Portuguesa,1,M,Normal,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,N - Licenciatura - Titulares de diploma de vias profissionalizantes (dupla certificação),16.63,2002,19,2021,16,12.º ano de escolaridade,Diurno (horário não vinculativo),sim,Odivelas,7.40,12.º ano de escolaridade,12.º ano de escolaridade,Não Responde,Não Responde,Desempregado/a,Trabalha por conta de outrém,"Aluno, estudante",Desconhecido/não sabe,58,60,97%,12.21,Não,Não,renovou no ano seguinte
20210271,Portuguesa,1,F,Aluno NEE,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,N - Licenciatura - Titulares de diploma de vias profissionalizantes (dupla certificação),13.61,2003,18,2021,15,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Sintra,32.10,Licenciatura,12.º ano de escolaridade,Não Responde,Não Responde,Trabalha por conta de outrém,Trabalha por conta de outrém,"Aluno, estudante",Desconhecido/não sabe,60,60,100%,13.03,Não,Não,renovou no ano seguinte
20210306,Portuguesa,1,F,Normal,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,N - Licenciatura - Titulares de diploma de vias profissionalizantes (dupla certificação),12.49,2003,18,2021,14,12.º ano de escolaridade,Diurno (horário não vinculativo),sim,Lisboa,0.00,9º ano de esco(antigo 5º ano liceal/ensino técni.),9º ano de esco(antigo 5º ano liceal/ensino técni.),Não Responde,Não Responde,Desempregado/a,Trabalha por conta de outrém,"Aluno, estudante",Outra situação,32,60,53%,11.13,Não,Não,renovou no ano seguinte
20210330,Portuguesa,1,F,Normal,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,N - Licenciatura - Titulares de diploma de vias profissionalizantes (dupla certificação),15.80,2003,18,2021,17,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Sintra,32.10,12.º ano de escolaridade,Licenciatura,Não Responde,Não Responde,Trabalha por conta de outrém,Trabalha por conta de outrém,Trabalha por conta de outrém,Trabalhadores dos cuidados pessoais e similares,53,60,88%,12.43,Não,Não,renovou no ano seguinte
20190231,Portuguesa,1,F,Normal,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,J - Licenciatura - Titulares de diploma de curso técnico superior profissional - CTeSP do ISEC Lisboa,16.05,2000,21,2021,15,Titulares de diploma de CTeSP,Diurno (horário não vinculativo),sim,Odivelas,7.40,4.º ano de escolaridade (antiga 4.ª classe),4.º ano de escolaridade (antiga 4.ª classe),Não Responde,Não Responde,Trabalha por conta própria - independente (sem empregados),Desempregado/a,Desempregado/a,Pessoal de apoio directo a clientes,54,60,90%,12.94,Não,Não,renovou no ano seguinte
20210240,Portuguesa,1,F,Normal,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,N - Licenciatura - Titulares de diploma de vias profissionalizantes (dupla certificação),15.42,2003,18,2021,16,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Lourinhã,65.70,6º ano de escol.(antigo 2ºano lic./ciclo prepara.),6º ano de escol.(antigo 2ºano lic./ciclo prepara.),Não Responde,Não Responde,Trabalha por conta de outrém,Trabalha por conta de outrém,Trabalha por conta de outrém,Outro pessoal de apoio de tipo administrativo,60,60,100%,12.02,Não,Não,renovou no ano seguinte
20210457,Portuguesa,1,F,Normal,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,G - Licenciatura - Regime geral de acesso [12º ano + Exames Nacionais],12.74,2002,19,2021,13,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Oeiras,21.30,Licenciatura,Bacharelato,Não Responde,Não Responde,Trabalha por conta de outrém,Trabalha por conta própria - (como empregador),"Aluno, estudante",Desconhecido/não sabe,53,60,88%,13.53,Não,Não,renovou no ano seguinte
20210450,Portuguesa,1,F,Normal,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,G - Licenciatura - Regime geral de acesso [12º ano + Exames Nacionais],12.53,2002,19,2021,12,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Alenquer,45.10,9º ano de esco(antigo 5º ano liceal/ensino técni.),9º ano de esco(antigo 5º ano liceal/ensino técni.),Não Responde,Não Responde,Trabalha por conta de outrém,Trabalha por conta de outrém,"Aluno, estudante",Desconhecido/não sabe,60,60,100%,13.18,Não,Não,renovou no ano seguinte
20210467,Portuguesa,1,F,Normal,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,G - Licenciatura - Regime geral de acesso [12º ano + Exames Nacionais],11.33,2003,18,2020,12,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Mafra,35.00,12.º ano de escolaridade,12.º ano de escolaridade,Outra situação,Não disponível,Desconhecida /Não Tem,Desconhecida /Não Tem,"Aluno, estudante",Outra situação,60,60,100%,12.27,Não,Não,renovou no ano seguinte
20210215,Portuguesa,1,F,Normal,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,G - Licenciatura - Regime geral de acesso [12º ano + Exames Nacionais],12.89,2001,20,2020,13,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Loures,10.10,4.º ano de escolaridade (antiga 4.ª classe),6º ano de escol.(antigo 2ºano lic./ciclo prepara.),Não Responde,Não Responde,Trabalha por conta de outrém,Trabalha por conta de outrém,Trabalha por conta de outrém,Desconhecido/não sabe,60,60,100%,14.82,Não,Não,renovou no ano seguinte
20210476,Portuguesa,1,F,Normal,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,G - Licenciatura - Regime geral de acesso [12º ano + Exames Nacionais],12.41,2003,18,2021,14,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Loures,10.10,Licenciatura,11.º ano de escolaridade,Não Responde,Não Responde,Trabalha por conta de outrém,Trabalha por conta de outrém,"Aluno, estudante",Desconhecido/não sabe,60,60,100%,13.75,Não,Não,renovou no ano seguinte
20210544,Brasileira,1,F,Normal,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,O - Licenciaturas - Concurso Especial de Acesso e Ingresso para Estudante Internacional,13.90,1979,42,2005,NA,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Brasil,NA,Não Responde,Não Responde,Não Responde,Não Responde,Desconhecida /Não Tem,Desconhecida /Não Tem,Desempregado/a,Desconhecido/não sabe,0,30,0%,0.00,Não,Não,Não renovou
20210597,Portuguesa,1,F,Normal,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,H - Licenciatura - Acesso para maiores de 23,12.21,1976,45,2018,NA,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Lisboa,0.00,4.º ano de escolaridade (antiga 4.ª classe),Sabe ler sem possuir o 4.º ano de escolaridade,Outra situação,Outra situação,Reformado/a,Reformado/a,Trabalha por conta de outrém,Outra situação,8,60,13%,10.63,Não,Não,Não renovou
20210551,Portuguesa,1,F,Normal,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,G - Licenciatura - Regime geral de acesso [12º ano + Exames Nacionais],12.83,2003,18,2021,13,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Sintra,32.10,9º ano de esco(antigo 5º ano liceal/ensino técni.),9º ano de esco(antigo 5º ano liceal/ensino técni.),Outra situação,Outra situação,Trabalha por conta de outrém,Trabalha por conta de outrém,Trabalha por conta de outrém,Trabalhadores dos cuidados pessoais e similares,60,60,100%,12.78,Não,Não,renovou no ano seguinte
20210617,Portuguesa,1,F,Normal,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,G - Licenciatura - Regime geral de acesso [12º ano + Exames Nacionais],12.50,2003,18,2021,13,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Abrantes,142.00,Licenciatura,12.º ano de escolaridade,Professores,Outra situação,Desempregado/a,Trabalha por conta de outrém,"Aluno, estudante",Outra situação,60,60,100%,13.38,Não,Não,renovou no ano seguinte
20210567,Portuguesa,1,F,Normal,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,M - Licenciatura - Titulares de Outros Cursos Superiores (Bach./Lic./Mest./Dout.),12.00,1992,29,2015,12,Licenciatura 1.º Ciclo,Diurno (horário não vinculativo),Não,Lisboa,0.00,Não Responde,Não Responde,Não Responde,Não Responde,Desconhecida /Não Tem,Desconhecida /Não Tem,Trabalha por conta própria - independente (sem empregados),Trabalhadores dos cuidados pessoais e similares,48,48,100%,14.40,Não,Não,renovou no ano seguinte
20210669,Portuguesa,1,F,Normal,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,M - Licenciatura - Titulares de Outros Cursos Superiores (Bach./Lic./Mest./Dout.),15.00,1999,22,2020,15,Licenciatura 1.º Ciclo,Diurno (horário não vinculativo),Não,Batalha,133.00,Não Responde,Não Responde,Não Responde,Não Responde,Desconhecida /Não Tem,Desconhecida /Não Tem,Trabalha por conta de outrém,Desconhecido/não sabe,58,60,97%,12.97,Não,Não,Não renovou
20210592,Portuguesa,1,F,Normal,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,H - Licenciatura - Acesso para maiores de 23,14.54,1996,25,2014,13,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Loures,10.10,12.º ano de escolaridade,Bacharelato,"Operadores de dados, de contabilidade, estatística, de serviços financeiros e relacionados com o registo",Especialistas em tecnologias de informação e comunicação (TIC),Trabalha por conta de outrém,Trabalha por conta de outrém,Trabalha por conta de outrém,Trabalhadores dos cuidados pessoais e similares,60,60,100%,17.05,Não,Não,renovou no ano seguinte
20210602,Portuguesa,1,M,Normal,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,H - Licenciatura - Acesso para maiores de 23,11.67,1989,32,2011,13,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Sintra,32.10,Doutoramento,Licenciatura,Não disponível,Diretores de produção e de serviços especializados,Desconhecida /Não Tem,Desconhecida /Não Tem,Trabalha por conta própria - (como empregador),Técnicos e Profissionais de Nível Intermédio,33,60,55%,14.79,Não,Não,renovou no ano seguinte
20210688,Portuguesa,1,M,Trabalhador Estudante,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,I - Licenciatura - Mudança de Par Instituição/Curso,17.00,1992,29,2010,17,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Amadora,8.00,Especialista Provas Públicas,Especialista,Profissionais de saúde,Oficiais das Forças Armadas,Trabalha por conta de outrém,Reformado/a,Trabalha por conta de outrém,Técnicos e Profissionais de Nível Intermédio,60,60,100%,16.13,Não,Não,Não renovou
20210599,Brasileira,1,F,Normal,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,H - Licenciatura - Acesso para maiores de 23,10.79,1993,28,2011,NA,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Sintra,32.10,Não Responde,Não Responde,Não Responde,Não Responde,Desconhecida /Não Tem,Desconhecida /Não Tem,Trabalha por conta de outrém,Técnicos e Profissionais de Nível Intermédio,0,57,0%,0.00,Não,Não,Não renovou
20200194,Portuguesa,2,F,Trabalhador Estudante,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,H - Licenciatura - Acesso para maiores de 23,14.40,1997,24,2016,16,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Cascais,35.30,Mestrado,12.º ano de escolaridade,Professores,Outra situação,Trabalha por conta de outrém,Desconhecida /Não Tem,Trabalha por conta de outrém,Professores,60,60,100%,14.92,Não,Não,renovou no ano seguinte
20200694,Portuguesa,2,F,Normal,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,H - Licenciatura - Acesso para maiores de 23,16.79,1996,25,2013,14,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Cascais,35.30,12.º ano de escolaridade,6º ano de escol.(antigo 2ºano lic./ciclo prepara.),Outra situação,Outra situação,Domestica/o,Trabalha por conta de outrém,Trabalha por conta de outrém,Outro pessoal de apoio de tipo administrativo,60,60,100%,15.98,Não,Não,renovou no ano seguinte
20190225,Portuguesa,2,F,Normal,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,J - Licenciatura - Titulares de diploma de curso técnico superior profissional - CTeSP do ISEC Lisboa,14.65,2000,21,2021,15,Titulares de diploma de CTeSP,Diurno (horário não vinculativo),sim,Torres Vedras,45.30,Não Responde,Não Responde,Não Responde,Não Responde,Desconhecida /Não Tem,Desconhecida /Não Tem,"Aluno, estudante",Desconhecido/não sabe,47,60,78%,14.17,Não,Não,renovou no ano seguinte
20190275,Portuguesa,2,F,Trabalhador Estudante,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,J - Licenciatura - Titulares de diploma de curso técnico superior profissional - CTeSP do ISEC Lisboa,14.65,2001,20,2021,15,Titulares de diploma de CTeSP,Diurno (horário não vinculativo),Não,Palmela,46.90,12.º ano de escolaridade,6º ano de escol.(antigo 2ºano lic./ciclo prepara.),Trabalhadores da montagem,Operadores de instalações fixas e máquinas,Trabalha por conta de outrém,Trabalha por conta de outrém,"Aluno, estudante",Outra situação,53,60,88%,14.36,Não,Não,renovou no ano seguinte
20190378,Portuguesa,2,F,Trabalhador Estudante,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,J - Licenciatura - Titulares de diploma de curso técnico superior profissional - CTeSP do ISEC Lisboa,14.35,2000,21,2021,14,Titulares de diploma de CTeSP,Pós-Laboral (horário não vinculativo),Não,Loures,10.10,Ensino médio,Ensino médio,Outra situação,Outra situação,Trabalha por conta de outrém,Trabalha por conta de outrém,Trabalha por conta de outrém,Trabalhadores dos cuidados pessoais e similares,56,61,92%,13.13,Não,Não,renovou no ano seguinte
20190227,São Tomense,2,F,Normal,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,J - Licenciatura - Titulares de diploma de curso técnico superior profissional - CTeSP do ISEC Lisboa,14.00,1998,23,2021,14,Titulares de diploma de CTeSP,Diurno (horário não vinculativo),Não,Cascais,35.30,Outra,Outra,Outra situação,Outra situação,Outra Situação,Outra Situação,"Aluno, estudante",Outra situação,41,60,68%,13.27,Não,Não,renovou no ano seguinte
20190213,Portuguesa,2,F,Normal,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,J - Licenciatura - Titulares de diploma de curso técnico superior profissional - CTeSP do ISEC Lisboa,15.70,2000,21,2021,15,Titulares de diploma de CTeSP,Diurno (horário não vinculativo),Não,Lisboa,0.00,Não Responde,Não Responde,Não Responde,Não Responde,Desconhecida /Não Tem,Desconhecida /Não Tem,"Aluno, estudante",Desconhecido/não sabe,54,60,90%,13.69,Não,Não,renovou no ano seguinte
20190217,Portuguesa,2,F,Normal,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,J - Licenciatura - Titulares de diploma de curso técnico superior profissional - CTeSP do ISEC Lisboa,15.95,2000,21,2021,17,Titulares de diploma de CTeSP,Pós-Laboral (horário não vinculativo),Não,Sintra,32.10,Não Responde,Não Responde,Não Responde,Não Responde,Desconhecida /Não Tem,Desconhecida /Não Tem,"Aluno, estudante",Desconhecido/não sabe,57,57,100%,14.05,Não,Não,renovou no ano seguinte
20190039,Portuguesa,2,F,Normal,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,J - Licenciatura - Titulares de diploma de curso técnico superior profissional - CTeSP do ISEC Lisboa,14.00,1999,22,2021,14,Titulares de diploma de CTeSP,Diurno (horário não vinculativo),sim,Lisboa,0.00,Não Responde,Não Responde,Não Responde,Não Responde,Desconhecida /Não Tem,Desconhecida /Não Tem,"Aluno, estudante",Outra situação,53,60,88%,12.79,Não,Não,renovou no ano seguinte
20190236,Portuguesa,2,F,Normal,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,J - Licenciatura - Titulares de diploma de curso técnico superior profissional - CTeSP do ISEC Lisboa,16.00,2000,21,2021,16,Titulares de diploma de CTeSP,Diurno (horário não vinculativo),sim,Sintra,32.10,Não Responde,Não Responde,Não Responde,Não Responde,Desconhecida /Não Tem,Desconhecida /Não Tem,"Aluno, estudante",Desconhecido/não sabe,60,60,100%,15.07,Não,Não,renovou no ano seguinte
20190209,Portuguesa,2,F,Normal,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,J - Licenciatura - Titulares de diploma de curso técnico superior profissional - CTeSP do ISEC Lisboa,15.35,1999,22,2021,15,Titulares de diploma de CTeSP,Diurno (horário não vinculativo),Não,Seixal,27.80,Não Responde,Não Responde,Não Responde,Não Responde,Desconhecida /Não Tem,Desconhecida /Não Tem,"Aluno, estudante",Desconhecido/não sabe,60,60,100%,13.82,Não,Não,renovou no ano seguinte
20190376,Portuguesa,2,F,Normal,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,J - Licenciatura - Titulares de diploma de curso técnico superior profissional - CTeSP do ISEC Lisboa,15.65,2000,21,2021,16,Titulares de diploma de CTeSP,Diurno (horário não vinculativo),sim,Ferreira Alentejo,158.00,12.º ano de escolaridade,12.º ano de escolaridade,Não Responde,Não Responde,Trabalha por conta de outrém,Trabalha por conta de outrém,"Aluno, estudante",Desconhecido/não sabe,60,60,100%,14.15,Não,Não,renovou no ano seguinte
20190069,Portuguesa,2,F,Normal,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,J - Licenciatura - Titulares de diploma de curso técnico superior profissional - CTeSP do ISEC Lisboa,15.65,1998,23,2021,16,Titulares de diploma de CTeSP,Diurno (horário não vinculativo),sim,Odivelas,7.40,Não Responde,Não Responde,Não Responde,Não Responde,Desconhecida /Não Tem,Desconhecida /Não Tem,Trabalha por conta de outrém,Vendedores,60,60,100%,15.12,Não,Não,renovou no ano seguinte
20190384,Portuguesa,2,F,Normal,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,J - Licenciatura - Titulares de diploma de curso técnico superior profissional - CTeSP do ISEC Lisboa,13.30,1998,23,2021,14,Titulares de diploma de CTeSP,Diurno (horário não vinculativo),Não,Sintra,32.10,Não Responde,Não Responde,Não Responde,Não Responde,Desconhecida /Não Tem,Desconhecida /Não Tem,"Aluno, estudante",Desconhecido/não sabe,60,60,100%,12.98,Não,Não,renovou no ano seguinte
20190097,Portuguesa,2,F,Normal,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,J - Licenciatura - Titulares de diploma de curso técnico superior profissional - CTeSP do ISEC Lisboa,15.30,1999,22,2021,16,Titulares de diploma de CTeSP,Diurno (horário não vinculativo),sim,Torres Vedras,45.30,Não Responde,Não Responde,Não Responde,Não Responde,Desconhecida /Não Tem,Desconhecida /Não Tem,Desempregado/a,Desconhecido/não sabe,60,60,100%,14.08,Não,Não,renovou no ano seguinte
20190397,Portuguesa,2,F,Normal,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,J - Licenciatura - Titulares de diploma de curso técnico superior profissional - CTeSP do ISEC Lisboa,16.00,2001,20,2021,16,Titulares de diploma de CTeSP,Diurno (horário não vinculativo),Não,Vila Franca de Xira,34.40,Não Responde,Não Responde,Não Responde,Não Responde,Desconhecida /Não Tem,Desconhecida /Não Tem,Trabalha por conta de outrém,Desconhecido/não sabe,60,60,100%,15.42,Não,Não,renovou no ano seguinte
20190283,Portuguesa,2,F,Trabalhador Estudante,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,J - Licenciatura - Titulares de diploma de curso técnico superior profissional - CTeSP do ISEC Lisboa,17.35,1999,22,2021,17,Titulares de diploma de CTeSP,Diurno (horário não vinculativo),Não,Torres Vedras,45.30,6º ano de escol.(antigo 2ºano lic./ciclo prepara.),9º ano de esco(antigo 5º ano liceal/ensino técni.),Não Responde,Não Responde,Trabalha por conta de outrém,Trabalha por conta de outrém,Trabalha por conta de outrém,Vendedores,60,60,100%,14.82,Não,Não,renovou no ano seguinte
20190259,Portuguesa,2,F,Trabalhador Estudante,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,J - Licenciatura - Titulares de diploma de curso técnico superior profissional - CTeSP do ISEC Lisboa,16.35,1997,24,2021,16,Titulares de diploma de CTeSP,Diurno (horário não vinculativo),Não,Torres Vedras,45.30,12.º ano de escolaridade,4.º ano de escolaridade (antiga 4.ª classe),Não Responde,Não Responde,Trabalha por conta de outrém,Desempregado/a,Trabalha por conta de outrém,Trabalhadores dos cuidados pessoais e similares,36,60,60%,14.39,Não,Não,renovou no ano seguinte
20190383,Portuguesa,2,F,Normal,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,J - Licenciatura - Titulares de diploma de curso técnico superior profissional - CTeSP do ISEC Lisboa,12.65,2000,21,2021,13,Titulares de diploma de CTeSP,Diurno (horário não vinculativo),Não,Sesimbra,42.20,Licenciatura,Licenciatura,Não Responde,Não Responde,Trabalha por conta de outrém,Trabalha por conta de outrém,"Aluno, estudante",Não Responde,41,60,68%,12.27,Não,Não,renovou no ano seguinte
20190204,Portuguesa,2,F,Normal,9853,Educação Básica,140 – Formação de Professores/Formadores e Ciências da Educação,99.50%,202122,J - Licenciatura - Titulares de diploma de curso técnico superior profissional - CTeSP do ISEC Lisboa,14.95,2001,20,2021,16,Titulares de diploma de CTeSP,Diurno (horário não vinculativo),sim,Mafra,35.00,6º ano de escol.(antigo 2ºano lic./ciclo prepara.),9º ano de esco(antigo 5º ano liceal/ensino técni.),Trabalhadores dos serviços pessoais,"Trabalhadores qualificados da construção e similares, exceto eletricista",Trabalha por conta de outrém,Trabalha por conta de outrém,"Aluno, estudante",Desconhecido/não sabe,60,60,100%,14.42,Não,Não,renovou no ano seguinte
